课次,单元,日语词条,读音,词性,中文翻译
第4課,ユニット1,報道,ほうどう①,名・他Ⅲ,报道；报导
第4課,ユニット1,特集,とくしゅう①,名,特辑；专刊
第4課,ユニット1,自宅,じたく①,名,自己的住宅
第4課,ユニット1,キャスター,①,名,（电视、广播）新闻主播
第4課,ユニット1,クローズアップ,⑤,名・他Ⅲ,特写；（新闻等）聚焦
第4課,ユニット1,ワールド,①,名,世界
第4課,ユニット1,起こる,おこる②,自Ⅰ,发生；由来；发作
第4課,ユニット1,砂漠化,さばくか①,名,沙漠化
第4課,ユニット1,砂漠,さばく①,名,沙漠
第4課,ユニット1,-化,-か,接尾,~化
第4課,ユニット1,早く,はやく①,名,早；原来；早先
第4課,ユニット1,対策,たいさく①,名,对策
第4課,ユニット1,取り組む,とりくむ③①,自Ⅰ,致力于；着力于；投身于
第4課,ユニット1,分析,ぶんせき①,名・他Ⅲ,分析
第4課,ユニット1,近年,きんねん①,名,近几年；近年来
第4課,ユニット1,政府,せいふ①,名,（中央）政府
第4課,ユニット1,積極的,せっきょくてき①,形Ⅱ,积极（的）；主动（的）
第4課,ユニット1,政策,せいさく①,名,政策
第4課,ユニット1,まっ黄色,まっきいろ①,名,鲜黄色；正黄色
第4課,ユニット1,黄色,きいろ①,名,黄；黄色
第4課,ユニット1,真っ-,まっ-,接頭,真~；正~
第4課,ユニット1,映像,えいぞう①,名,影像；映像；视频
第4課,ユニット1,内モンゴル,うちモンゴル③,固名,内蒙古
第4課,ユニット1,黄砂,こうさ①,名,黄沙；风沙；沙尘暴
第4課,ユニット1,やっぱり,③,副,果然；还是（「やはり」的口语形式）
第4課,ユニット1,かな,終助,表示怀疑、不确切的语气
第4課,ユニット1,かしら,終助,（表示疑问，女性用词）是否
第4課,ユニット2,ビデオ通話,ビデオつうわ④,名,视频通话
第4課,ユニット2,通話,つうわ①,名・自Ⅲ,通话
第4課,ユニット2,こっち,③,名,（「こちら」的口语形式）这边；这里
第4課,ユニット2,ううん,①,感,表示否定的意思；有感而发
第4課,ユニット2,一度,いちど③,名,一次；一遍
第4課,ユニット2,サングラス,③,名,太阳镜；墨镜
第4課,ユニット2,かける【掛ける】,②,他Ⅱ,佩戴；挂；系
第4課,ユニット2,巻く,まく①,他Ⅰ,围；卷；包围
第4課,ユニット2,映る,うつる②,自Ⅰ,映；照
第4課,ユニット2,わ,①,感,感叹
第4課,ユニット2,晴れ,はれ②①,名,晴；晴天；放晴
第4課,ユニット2,スモッグ,②,名,雾霾；烟雾；烟尘
第4課,ユニット2,ぼんやり,③,副・自Ⅲ,模糊不清楚；发呆；心不在焉
第4課,ユニット2,霞む,かすむ①,自Ⅰ,起霞；模糊不清；朦胧
第4課,ユニット2,マスク,①,名,口罩；面具；面膜
第4課,ユニット2,だめ,②,形Ⅱ,无用；白费；不行
第4課,ユニット2,わね,①,感,表示语气柔和的主张或叮问
第4課,ユニット3,緑,みどり①,名,绿色
第4課,ユニット3,奇跡,きせき①,名,奇迹
第4課,ユニット3,塞罕坝,サイハンバ①,固名,（地名）塞罕坝
第4課,ユニット3,投書,とうしょ①,名・自Ⅲ,投稿；读者来信
第4課,ユニット3,慣れる,なれる②,自Ⅱ,习惯；熟悉
第4課,ユニット3,イベント,②,名,活动；庆典
第4課,ユニット3,華北,かほく①,固名,华北
第4課,ユニット3,地区,ちく①②,名,地区
第4課,ユニット3,最大,さいだい①,名,最大；最多
第4課,ユニット3,総面積,そうめんせき③,名,总面积
第4課,ユニット3,総-,そう-,接頭,总；总共
第4課,ユニット3,面積,めんせき①,名,面积
第4課,ユニット3,ムー,①,固名,亩
第4課,ユニット3,残り,のこり①,名,残余；剩余
第4課,ユニット3,空気,くうき①,名,空气
第4課,ユニット3,思わず,おもわず②,副,禁不住；不由自主地
第4課,ユニット3,深呼吸,しんこきゅう③,名・自Ⅲ,深呼吸
第4課,ユニット3,呼吸,こきゅう①,名・自Ⅲ,呼吸
第4課,ユニット3,数-,すう-,接頭,数～；若干～
第4課,ユニット3,なんと,①,副・感,（用于感叹）多么～（啊）；（用于疑问）怎么～（呢）
第4課,ユニット3,草木,くさき②,名,草和树；植物
第4課,ユニット3,渦巻く,うずまく③,自Ⅰ,漩涡打旋；混乱
第4課,ユニット3,襲う,おそう①②,他Ⅰ,袭击
第4課,ユニット3,太陽,たいよう①,名,太阳
第4課,ユニット3,ドア,①,名,门
第4課,ユニット3,砂,すな①,名,沙子；黄砂
第4課,ユニット3,西北,せいほく①,固名,西北
第4課,ユニット3,造林,ぞうりん①,名・自他Ⅲ,植树；造林
第4課,ユニット3,築く,きずく②,他Ⅰ,构筑；修建
第4課,ユニット3,意志,いし①,名,意志；意向
第4課,ユニット3,パラリンピック,⑤,固名,残奥会
第4課,ユニット3,スポーツマンシップ,⑦,名,运动员精神
第4課,ユニット3,配慮,はいりょ①,名・他Ⅲ,考虑；顾虑；关怀
第4課,ユニット3,持続可能性,じぞくかのうせい①,名,可持续性
第4課,ユニット3,持続,じぞく①,名・自他Ⅲ,持续
第4課,ユニット3,可能,かのう①,名,可能
第4課,ユニット3,-性,-せい,接尾,性；性质
第4課,ユニット3,導入,どうにゅう①,名・他Ⅲ,导入；引用
第4課,ユニット3,あらためて【改めて】,③,副,重新；再
第4課,ユニット3,輝く,かがやく③,自Ⅰ,放光辉；闪耀；辉煌
第4課,ユニット3,課題,かだい①,名,课题；题目
第5課,ユニット1,遠足,えんそく①,名・自Ⅲ,远足；郊游
第5課,ユニット1,香山,こうざん①,固名,香山（地名）
第5課,ユニット1,都合,つごう①,名,情形；状况；方便（与否）
第5課,ユニット1,よろしい【宜しい】,③①,形Ⅰ,好；可以
第5課,ユニット1,丸一日,まるいちにち①④,名,一整天
第5課,ユニット1,丸一,まるいち,接頭,整个；完全
第5課,ユニット1,一日,いちにち④①,名,一天
第5課,ユニット1,半日,はんにち・はんじつ④,名,半天
第5課,ユニット1,あら,①,感,啊（表示吃惊或感叹）
第5課,ユニット1,古屋,ふるや①,固名,（姓氏）古屋
第5課,ユニット1,いらっしゃる,④,自Ⅰ,来；去；在（「来る」「行く」「いる」的尊他语）
第5課,ユニット1,伺う,うかがう①,他Ⅰ,（「聞く」「行く」的自谦用法）问；询问；听；拜访
第5課,ユニット2,選手,せんしゅ①,名,选手；运动员
第5課,ユニット2,出会う,であう②,自Ⅰ,邂逅；遇见
第5課,ユニット2,見つける,みつける①,他Ⅱ,发现；找到
第5課,ユニット2,頃,ころ①,名,时期；（时间）前后
第5課,ユニット2,できれば,②,可以的话
第5課,ユニット2,身軽,みがる①,形Ⅱ,轻松；轻便；身体灵便
第5課,ユニット2,しまった,②,感,坏了！糟糕
第5課,ユニット3,先日,せんじつ①,名,最近；前几天
第5課,ユニット3,ひととき【ひと時・一時】,②,名,一段时间；短暂时光
第5課,ユニット3,頂上,ちょうじょう③,名,山顶；最高处
第5課,ユニット3,まるで,①,副,好像；简直像；宛如；完全
第5課,ユニット3,澄む,すむ①,自Ⅰ,清澈；明净
第5課,ユニット3,青空,あおぞら③,名,蓝天；晴空
第5課,ユニット3,眺める,ながめる③,他Ⅱ,眺望
第5課,ユニット3,アルバム,①,名,相册；音乐专辑
第5課,ユニット3,ご覧,ごらん①,名,（「見る」的尊敬说法）看；观看；浏览
第5課,ユニット3,食べすぎる,たべすぎる④①,他Ⅱ,吃得太多；吃撑了
第5課,ユニット3,-すぎる,接尾,过～；太～
第5課,ユニット3,機会,きかい②①,名,机会
第5課,ユニット3,おる,①,自Ⅰ,（「いる」的尊敬说法）在；有
第6課,ユニット1,宝くじ,たからくじ③④,名,彩票；奖券
第6課,ユニット1,当たる,あたる①,自Ⅰ,中奖；打中；猜中
第6課,ユニット1,このごろ,①,名,最近；这些日子
第6課,ユニット1,あんまり,①,副,（「あまり」的强调用法，用于口语）（不）太～；（不）怎么～
第6課,ユニット1,金持ち,かねもち④③,名,有钱人
第6課,ユニット1,1等,いっとう①③,名,一等（奖）
第6課,ユニット1,-等,-とう,接尾,等；等级
第6課,ユニット1,驚く,おどろく③,自Ⅰ,惊讶；吃惊
第6課,ユニット1,運,うん①,名,运气
第6課,ユニット1,なんて,①,取立て助,表示例示、强调
第6課,ユニット1,ところで,③,接,那么；不过
第6課,ユニット1,大金,たいきん①,名,巨款；一大笔钱
第6課,ユニット1,さあ,①,感,那么
第6課,ユニット1,に,格助,表示用途、目的
第6課,ユニット1,な,終助,表示感叹
第6課,ユニット2,本末転倒,ほんまつてんとう①-①,名,本末倒置
第6課,ユニット2,ゲームソフト,④,名,游戏软件
第6課,ユニット2,ソフト,①,名・形Ⅱ,（software的省略说法）软件；柔软（的）；（性格、态度）温和（的）
第6課,ユニット2,ため,②,名,为了
第6課,ユニット2,一式,いっしき⓪④,名,一套；整体
第6課,ユニット2,どんなに,①,副,如何；怎样
第6課,ユニット2,資金,しきん②①,名,资金
第6課,ユニット2,確率,かくりつ⓪,名,概率；几率
第6課,ユニット2,低い,ひくい②,形Ⅰ,低（的）；矮（的）；价格便宜（的）
第6課,ユニット2,進級,しんきゅう⓪,名・自Ⅲ,升级；升班
第6課,ユニット2,第一,だいいち①-②①,名,第一；最重要
第6課,ユニット3,対象,たいしょう①,名,对象
第6課,ユニット3,有効,ゆうこう①,名・形Ⅱ,有效
第6課,ユニット3,詳細,しょうさい①,名・形Ⅱ,详细；详情；具体内容
第6課,ユニット3,掲載,けいさい①,名・他Ⅲ,刊登；登载
第6課,ユニット3,状態,じょうたい①,名,状况；状态
第6課,ユニット3,有無,うむ①,名,有无
第6課,ユニット3,バッグ,①,名,包；手提包
第6課,ユニット3,維持,いじ①,名・他Ⅲ,维持；维护
第6課,ユニット3,グラフ,①①,名,图（表）
第6課,ユニット3,ゆとり,①,名,（时间、生活等）富裕；有余裕
第6課,ユニット3,生かす,いかす②,他Ⅰ,有效利用；运用
第6課,ユニット3,次に,つぎに②,接,然后；接着
第6課,ユニット3,次いで,ついで①,接,紧接着；然后
第6課,ユニット3,友人,ゆうじん①,名,友人；朋友
第6課,ユニット3,関わる,かかわる③①,自Ⅰ,相关；有关；牵涉
第6課,ユニット3,関心,かんしん①,名,关注；关心；兴趣
第6課,ユニット3,ほどほど,①,名・形Ⅱ,适度；适量；适可而止
第6課,ユニット3,浅い,あさい②①,形Ⅰ,浅；不足；（颜色）淡
第6課,ユニット3,自由,じゆう②,名・形Ⅱ,自由；不限
第6課,ユニット3,記述,きじゅつ①,名・他Ⅲ,记述；填写；记录；描写
第6課,ユニット3,欄,らん①,名,栏；栏目
第6課,ユニット3,挑戦,ちょうせん①,名・自Ⅲ,挑战
第6課,ユニット3,精神,せいしん①,名,精神
第6課,ユニット3,優先,ゆうせん①,名・自他Ⅲ,优先
第6課,ユニット3,案外,あんがい①①,副・形Ⅱ,竟然；出乎意料
第6課,ユニット3,読み取る,よみとる③①,他Ⅰ,理解；读出
第6課,ユニット3,方法,ほうほう①,名,方法；办法
第6課,ユニット3,一人暮らし,ひとりぐらし④,名,独自生活；一个人生活
第6課,ユニット3,シニア,①,名,年长者；上司；上级
第6課,ユニット3,主婦,しゅふ①,名,家庭主妇
第6課,ユニット3,非常に,ひじょうに①,副,非常
第6課,ユニット3,余暇,よか①,名,余暇；闲暇
第6課,ユニット3,-票,-ひょう,接尾,~票
第7課,ユニット1,海淀区,かいてんく③,固名,（地名）海淀区（北京市的一个区）
第7課,ユニット1,児童,じどう①,名,儿童
第7課,ユニット1,おやつ,②,名,（午后3点吃的）零食；小点心
第7課,ユニット1,気軽,きがる①,形Ⅱ,轻松；随意
第7課,ユニット2,イメージチェンジ,⑤,名・自Ⅲ,改变形象；改变印象；转变看法
第7課,ユニット2,チェンジ,①,名・他Ⅲ,改变
第7課,ユニット2,ほんと,①,名・形Ⅱ,真是；的确
第7課,ユニット2,似合う,にあう②,自Ⅰ,适合；好看
第7課,ユニット2,主人公,しゅじんこう②,名,主人公
第7課,ユニット2,美容室,びようしつ②,名,美容院
第7課,ユニット2,ワイルド,①,名・形Ⅱ,野生（的）
第7課,ユニット2,染める,そめる①,他Ⅱ,（颜色）染；（情绪）感染
第7課,ユニット2,ライオンヘア,⑤,名,（发型）爆炸头；狮头发型
第7課,ユニット2,ヘア,①,名,头发
第7課,ユニット3,鳥獣戯画,ちょうじゅうぎが⑤,名,鸟兽人物讽刺画；滑稽画
第7課,ユニット3,鳥獣,ちょうじゅう⓪,名,鸟兽
第7課,ユニット3,戯画,ぎが①,名,讽刺画；滑稽画
第7課,ユニット3,参考,さんこう⓪,名,参考
第7課,ユニット3,絵巻,えまき⓪①,名,画卷；卷轴
第7課,ユニット3,ほど,⓪,名,程度；限度
第7課,ユニット3,平安時代,へいあんじだい⑤,固名,平安时代
第7課,ユニット3,鎌倉時代,かまくらじだい⑤,固名,镰仓时代
第7課,ユニット3,甲,こう①,名,甲；十干的第一
第7課,ユニット3,乙,おつ①,名,乙；十干的第二
第7課,ユニット3,丙,へい①,名,丙；十干的第三
第7課,ユニット3,丁,てい①,名,丁；十干的第四
第7課,ユニット3,巻,かん①,名,卷；本
第7課,ユニット3,分かれる,わかれる③,自Ⅱ,分开；划分
第7課,ユニット3,及ぶ,およぶ⓪,自Ⅰ,涉及；波及；达到
第7課,ユニット3,絵巻物,えまきもの⓪,名,画卷；手卷
第7課,ユニット3,秀逸,しゅういつ⓪,形Ⅱ,优秀；隽秀；出众
第7課,ユニット3,兎,うさぎ⓪,名,兔子
第7課,ユニット3,猿,さる①,名,猴；猿
第7課,ユニット3,蛙,かえる・かわず⓪,名,蛙；青蛙
第7課,ユニット3,表情,ひょうじょう③,名,表情
第7課,ユニット3,しぐさ【仕草】,①⓪,名,做法；行为；动作
第7課,ユニット3,まさに【正に】,①,副,正是
第7課,ユニット3,中世,ちゅうせい①,名,中世（镰仓、室町时代）
第7課,ユニット3,ファンタジー,①,名,想象；幻想；空想
第7課,ユニット3,現代,げんだい①,名,现代
第7課,ユニット3,原点,げんてん①,名,原点；出发点；根源
第7課,ユニット3,-種,-しゅ,接尾,种类
第7課,ユニット3,催事,さいじ①,名,特别举办的活动
第7課,ユニット3,知名度,ちめいど②,名,知名度
第7課,ユニット3,倒れる,たおれる③,自Ⅱ,倒；倒塌；倒下
第7課,ユニット3,犯人,はんにん①,名,犯人
第7課,ユニット3,仲間,なかま③,名,伙伴；同伙；~的一员
第7課,ユニット3,倒す,たおす②,他Ⅰ,推倒；放倒；打倒
第7課,ユニット3,追いかける,おいかける④,他Ⅱ,追赶；紧跟
第7課,ユニット3,投げ飛ばす,なげとばす④⓪,他Ⅰ,抛出去；猛扔出去
第7課,ユニット3,場面,ばめん①⓪,名,场面；情景；场景
第7課,ユニット3,コマ割り,こまわり⓪,名,分格
